doc_id,ticker,form,doc_type,doc_role,filing_date,n_chars,n_words,alpha_ratio,mean_word_len,fragment_rate,n_tables,n_sections,xbrl_leak,entity_residue,toc_residue,near_empty,short_exhibit,size_outlier,low_alpha,odd_word_len,fragmented,warnings
33d9da1b47f5e338,ADBE,8-K,8-K,primary,2026-09-10,14463,2164,0.798,5.65,0.0108,4,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:4
f5ee59e02dc8a1de,ADBE,8-K,EX-99.1,exhibit,2026-09-10,25532,5132,0.56,3.72,0.0034,13,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:10
36add901ff7bdc7e,ADBE,8-K,8-K,primary,2026-09-08,5801,943,0.722,5.08,0.0202,4,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:3
7915bd230bd1a969,ADBE,8-K,EX-99.1,exhibit,2026-09-08,5022,733,0.817,5.83,0.0014,0,0,False,False,False,False,False,False,False,False,False,
5686304475c068b3,ADBE,8-K,8-K,primary,2026-07-17,4515,744,0.711,5.0,0.0239,3,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:2
3166f000b8101217,ADBE,10-Q,10-Q,primary,2026-06-15,211139,37661,0.687,4.46,0.0051,50,8,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:178
689355513446c6ad,ADBE,8-K,8-K,primary,2026-06-11,15812,2380,0.795,5.62,0.0098,4,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:5
9e0adcb21a25405e,ADBE,8-K,EX-99.1,exhibit,2026-06-11,26457,5280,0.568,3.77,0.0032,13,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:10
b312474d0bc60fc3,ADBE,8-K,8-K,primary,2026-04-21,8821,1586,0.592,4.45,0.0174,12,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:4
07c07d31911125e3,ADBE,8-K,EX-99.1,exhibit,2026-04-21,4835,686,0.816,6.02,0.0088,0,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:1
78fb523f22937176,ADBE,10-Q,10-Q,primary,2026-03-25,196906,33719,0.715,4.72,0.0054,49,9,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:169
0026a2fc249f378b,ADBE,8-K,8-K,primary,2026-03-12,15327,2297,0.794,5.64,0.0112,4,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:5
7e531e90276a81d6,ADBE,8-K,EX-99.1,exhibit,2026-03-12,22165,4237,0.604,4.01,0.0036,9,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:7
5aa626da83401319,ADBE,8-K,EX-99.2,exhibit,2026-03-12,1915,287,0.805,5.63,0.0,0,0,False,False,False,False,False,False,False,False,False,
5dda168944df63b4,ADBE,8-K,EX-99.3,exhibit,2026-03-12,2686,473,0.791,4.66,0.0086,0,0,False,False,False,False,False,False,False,False,False,
134259612d113763,ADBE,8-K,8-K,primary,2026-01-27,15000,2501,0.728,4.93,0.0132,7,0,False,False,False,False,False,False,False,False,False,info:page_artifacts_dropped:5
