why,ticker,source_category,section_name,ai_relevance,ai_role,valence_ai,confidence,evidence_span
"negative role, positive valence",DELL,news,,substantive,D_negative_exposure,1.0,0.85,"SpaceX was planning to buy 13,000 Nvidia-powered AI server racks from Foxconn, which would have been a significant blow to Dell and Super Micro, traditional suppliers for SpaceX."
"negative role, positive valence",INTC,news,,substantive,D_negative_exposure,1.0,0.85,"calls from US technology executives for a slower pace of AI development, impacting investor assessment of future infrastructure spending and demand for semiconductor products"
substantive but no role,MU,sec_filing,risk_factors,substantive,E_none,-1.0,0.75,"We are increasingly incorporating AI capabilities into the development of technologies and our business operations, and into our products and services. AI technology is complex and rapidly evolving, and may expose us to significant competitive, legal, regulatory, and other risks. The implementation of AI can be costly and there is no guarantee that our use of AI will enhance our technologies, benefit our business operations, or produce products and services that are preferred by our customers. AI will likely increase or change the competitive environment in our markets. Our competitors may be more successful in their AI strategy or they may have access to greater AI resources or technology and develop superior products and services."
substantive but no role,MU,sec_filing,risk_factors,substantive,E_none,-1.0,0.85,"We are increasingly incorporating AI capabilities into the development of technologies and our business operations, and into our products and services. AI technology is complex and rapidly evolving, and may expose us to significant competitive, legal, regulatory, and other risks. The implementation of AI can be costly and there is no guarantee that our use of AI will enhance our technologies, benefit our business operations, or produce products and services that are preferred by our customers. AI will likely increase or change the competitive environment in our markets. Our competitors may be more successful in their AI strategy or they may have access to greater AI resources or technology and develop superior products and services."
substantive but no role,NVDA,sec_filing,risk_factors,substantive,E_none,0.0,0.75,"Because our products may be used in multiple use cases and applications, it is difficult to estimate with any reasonable degree of precision the impact of accelerated computing and AI models on our reported revenue or forecasted demand."
substantive but no role,NVDA,sec_filing,risk_factors,substantive,E_none,0.0,0.72,"AI software products that we or our partners offer rely on training data that may originate from third parties and new training methods, and the resulting products may contain unknown or undetected defects and errors, or reflect unintended bias."
substantive but no role,NVDA,sec_filing,exhibits,substantive,E_none,0.0,0.7,"The Compute & Networking segment includes our Data Center accelerated computing platforms and AI solutions and software; networking; automotive platforms and autonomous and electric vehicle solutions; Jetson for robotics and other embedded platforms; and DGX Cloud computing services. The Graphics segment includes GeForce GPUs for gaming and PCs, the GeForce NOW game streaming service and related infrastructure, and solutions for gaming platforms; Quadro/NVIDIA RTX GPUs for enterprise workstation graphics; vGPU software for cloud-based visual and virtual computing; automotive platforms for infotainment systems; and Omniverse Enterprise software for building and operating industrial AI and digital twin applications."
substantive but no role,NVDA,sec_filing,risk_factors,substantive,E_none,0.0,0.65,"The use of our GPUs other than that for which they were designed and marketed, including new and unexpected use cases, has impacted and can in the future impact demand for our products"
substantive but no role,TEAM,sec_filing,risk_factors,substantive,E_none,-1.0,0.8,"We have incorporated and expect to continue to incorporate AI and machine learning solutions, products and features, including generative AI solutions, products and features, into our products, platform, and business, which act on data-driven insights derived from both first and third-party applications. AI and machine learning solutions, products and features may become more important to our operations or to our future growth over time. There can be no assurance that the use of AI and machine learning solutions, products and features will enhance our products or services, produce intended results, or be beneficial to our business, including our efficiency or profitability, and we may fail to properly implement or market our AI and machine learning solutions, products and features."
substantive but no role,WM,sec_filing,risk_factors,substantive,E_none,0.0,0.75,"Artificial intelligence could disrupt certain aspects of our business and change use of technology in ways that are not yet known. Artificial intelligence technologies are subject to a variety of laws and compliance risk, including intellectual property, data protection and privacy, cybersecurity, consumer protection, competition, and equal opportunity laws, and are expected to be subject to increased regulation and new laws or new applications of existing laws."
substantive but no role,WM,sec_filing,risk_factors,substantive,E_none,0.0,0.75,"Inability to adapt to and manage the benefits and risks of artificial intelligence could expose us to liability or put us at a disadvantage. Artificial intelligence could disrupt certain aspects of our business and change use of technology in ways that are not yet known. If we are not able to adapt and effectively incorporate potential advantages of artificial intelligence in our business, it may negatively impact our ability to compete. If we are not able to effectively manage the risks of artificial intelligence, we may suffer harm to our results of operations and reputation."
substantive but no role,WM,sec_filing,risk_factors,substantive,E_none,0.0,0.72,"In 2023, the world experienced an exponential level of growth in the availability of potential applications of artificial intelligence (""AI""). AI could disrupt certain aspects of our business and evolve use of technology in ways that are not yet known. If we are not able to adapt and effectively incorporate potential advantages of AI in our business, it may negatively impact our ability to compete. On the other hand, if we are not able to effectively manage the risks of AI, including the potential for poor or inconsistent quality, privacy concerns, risks related to automated decision-making, and the potential for exposure of confidential and/or propriety information, we may suffer harm to our results of operation and reputation."
